M,Combinacion_Greedy,Combinacion_Optima,Num_Monedas_Greedy,Num_Monedas_Optima,Coinciden
1,"1*1","1*1",1,1,SI
2,"2*1","2*1",2,2,SI
3,"3*1","3*1",3,3,SI
4,"1*4","1*4",1,1,SI
5,"1*4+1*1","1*4+1*1",2,2,SI
6,"1*6","1*6",1,1,SI
7,"1*6+1*1","1*6+1*1",2,2,SI
8,"1*6+2*1","2*4",3,2,NO
9,"1*6+3*1","2*4+1*1",4,3,NO
10,"1*6+1*4","1*6+1*4",2,2,SI
11,"1*6+1*4+1*1","1*6+1*4+1*1",3,3,SI
12,"2*6","2*6",2,2,SI
13,"2*6+1*1","2*6+1*1",3,3,SI
14,"2*6+2*1","1*6+2*4",4,3,NO
15,"2*6+3*1","1*6+2*4+1*1",5,4,NO
16,"2*6+1*4","2*6+1*4",3,3,SI
17,"2*6+1*4+1*1","2*6+1*4+1*1",4,4,SI
18,"3*6","3*6",3,3,SI
19,"3*6+1*1","3*6+1*1",4,4,SI
20,"3*6+2*1","2*6+2*4",5,4,NO
21,"3*6+3*1","2*6+2*4+1*1",6,5,NO
22,"3*6+1*4","3*6+1*4",4,4,SI
23,"3*6+1*4+1*1","3*6+1*4+1*1",5,5,SI
24,"4*6","4*6",4,4,SI
25,"4*6+1*1","4*6+1*1",5,5,SI
26,"4*6+2*1","3*6+2*4",6,5,NO
27,"4*6+3*1","3*6+2*4+1*1",7,6,NO
28,"4*6+1*4","4*6+1*4",5,5,SI
29,"4*6+1*4+1*1","4*6+1*4+1*1",6,6,SI
30,"5*6","5*6",5,5,SI
